Nb_sac, Nb_obj, Algorithme, Temps (s), VALEUR_TOTAL
1, 1000, BSO, 0.0699048, 8105
1, 1000, GA, 0.191864, 734432
3, 1000, BSO, 0.2193058, 40808
3, 1000, GA, 0.3308176, 1271665
5, 1000, BSO, 0.0614977, 35273
5, 1000, GA, 0.4067685, 1400705
7, 1000, BSO, 0.1068133, 33323
7, 1000, GA, 0.5162918, 1462928
9, 1000, BSO, 0.1625202, 65241
9, 1000, GA, 0.6374432, 1466652
11, 1000, BSO, 0.2170971, 102703
11, 1000, GA, 0.7563648, 1501482
13, 1000, BSO, 0.5497661, 106209
13, 1000, GA, 0.8741883, 1514535
15, 1000, BSO, 0.3724447, 109593
15, 1000, GA, 0.9934589, 1516323
17, 1000, BSO, 1.0701104, 119678
17, 1000, GA, 1.3567305, 1511841
19, 1000, BSO, 1.1201112, 140317
19, 1000, GA, 1.3823221, 1498850
21, 1000, BSO, 0.8481282, 146830
21, 1000, GA, 1.5141665, 1478605
23, 1000, BSO, 0.8585841, 182335
23, 1000, GA, 1.5524571, 1506047
25, 1000, BSO, 1.9591677, 162420
25, 1000, GA, 1.8035248, 1490589
27, 1000, BSO, 1.0791878, 193969
27, 1000, GA, 1.7755386, 1448566
29, 1000, BSO, 2.3215618, 203019
29, 1000, GA, 1.9081232, 1497248
31, 1000, BSO, 1.376524, 250357
31, 1000, GA, 2.0334859, 1502723
33, 1000, BSO, 3.0684362, 218363
33, 1000, GA, 2.1547591, 1502179
35, 1000, BSO, 2.0906254, 231839
35, 1000, GA, 2.3914972, 1494717
37, 1000, BSO, 2.1458425, 223868
37, 1000, GA, 2.8689, 1491953
39, 1000, BSO, 4.0706985, 313414
39, 1000, GA, 2.641663, 1511728
41, 1000, BSO, 4.6792726, 307964
41, 1000, GA, 2.6395794, 1531315
43, 1000, BSO, 2.6549926, 325598
43, 1000, GA, 2.7557211, 1529744
45, 1000, BSO, 3.5658002, 342829
45, 1000, GA, 3.1853117, 1524893
47, 1000, BSO, 6.0553207, 349910
47, 1000, GA, 3.1402174, 1518070
49, 1000, BSO, 8.076617, 330560
49, 1000, GA, 3.1666358, 1545472
1, 1100, BSO, 37.9787427, 1531676
1, 1100, GA, 0.1286648, 876447
3, 1100, BSO, 0.1527769, 1568949
3, 1100, GA, 0.2976059, 1491892
5, 1100, BSO, 0.2277062, 1505029
5, 1100, GA, 0.461479, 1611004
7, 1100, BSO, 0.2109173, 1503462
7, 1100, GA, 0.5823767, 1628157
9, 1100, BSO, 0.2831056, 1542368
9, 1100, GA, 0.7156858, 1690450
11, 1100, BSO, 0.5945952, 1493646
11, 1100, GA, 1.1481366, 1638532
13, 1100, BSO, 0.7961921, 1532069
