Nb_sac, Nb_obj, Temps (s), MAX_ITER, NBR_BEE, FLIP, MAX_CHANCES, FITNESS, VALEUR_TOTAL
5, 100, 0.0785654, 5, 5, 1, 1, 92440.00000672821, 51907
5, 100, 0.0495532, 5, 5, 1, 2, 92956.00000686337, 53781
5, 100, 0.0418783, 5, 5, 1, 3, 93295.00000686337, 60003
5, 100, 0.036771, 5, 5, 1, 4, 93334.00000686337, 63055
5, 100, 0.0365278, 5, 5, 1, 5, 93353.00000686337, 65493
5, 100, 0.037315, 5, 5, 1, 6, 93353.00000686337, 65493
5, 100, 0.0437495, 5, 5, 1, 7, 93353.00000686337, 65493
5, 100, 0.0393671, 5, 5, 1, 8, 93353.00000686337, 65493
5, 100, 0.0402431, 5, 5, 1, 9, 93353.00000686337, 65493
5, 100, 0.0493852, 5, 5, 1, 10, 93353.00000686337, 65493
5, 100, 0.0541781, 5, 5, 2, 1, 92967.00000659474, 47492
5, 100, 0.0418175, 5, 5, 2, 2, 93353.00000686337, 65493
5, 100, 0.0483623, 5, 5, 2, 3, 93353.00000686337, 65493
5, 100, 0.0507401, 5, 5, 2, 4, 93364.00000686337, 63531
5, 100, 0.0422061, 5, 5, 2, 5, 93364.00000686337, 63531
5, 100, 0.048169, 5, 5, 2, 6, 93364.00000686337, 63531
5, 100, 0.0460354, 5, 5, 2, 7, 93364.00000686337, 63531
5, 100, 0.060866, 5, 5, 2, 8, 93364.00000686337, 63531
5, 100, 0.0535844, 5, 5, 2, 9, 93364.00000686337, 63531
5, 100, 0.0460586, 5, 5, 2, 10, 93364.00000686337, 63531
5, 100, 0.0615881, 5, 5, 3, 1, 92769.00000713246, 61387
5, 100, 0.0459493, 5, 5, 3, 2, 93364.00000686337, 63531
5, 100, 0.0464137, 5, 5, 3, 3, 93364.00000686337, 63531
5, 100, 0.0489977, 5, 5, 3, 4, 93364.00000686337, 63531
5, 100, 0.0490301, 5, 5, 3, 5, 93412.00000686337, 61540
5, 100, 0.0535102, 5, 5, 3, 6, 93413.00000686337, 62763
5, 100, 0.0498357, 5, 5, 3, 7, 93417.00000686337, 63065
5, 100, 0.0506472, 5, 5, 3, 8, 93417.00000686337, 63065
5, 100, 0.0479482, 5, 5, 3, 9, 93427.00000686337, 63099
5, 100, 0.0503922, 5, 5, 3, 10, 93427.00000686337, 63099
5, 100, 0.0666495, 5, 5, 4, 1, 92751.00000692243, 60865
5, 100, 0.059014, 5, 5, 4, 2, 93427.00000686337, 63099
5, 100, 0.0505232, 5, 5, 4, 3, 93427.00000686337, 63099
5, 100, 0.0554973, 5, 5, 4, 4, 93427.00000686337, 63099
5, 100, 0.0598093, 5, 5, 4, 5, 93427.00000686337, 63099
5, 100, 0.0609318, 5, 5, 4, 6, 93427.00000686337, 63099
5, 100, 0.0606671, 5, 5, 4, 7, 93427.00000686337, 63099
5, 100, 0.0689332, 5, 5, 4, 8, 93427.00000686337, 63099
5, 100, 0.061408, 5, 5, 4, 9, 93427.00000686337, 63099
5, 100, 0.0620542, 5, 5, 4, 10, 93427.00000686337, 63099
5, 100, 0.0885642, 5, 5, 5, 1, 92554.00000677034, 65985
5, 100, 0.0719839, 5, 5, 5, 2, 93427.00000686337, 63099
5, 100, 0.0607253, 5, 5, 5, 3, 93427.00000686337, 63099
5, 100, 0.0591469, 5, 5, 5, 4, 93427.00000686337, 63099
5, 100, 0.0622648, 5, 5, 5, 5, 93427.00000686337, 63099
5, 100, 0.0756667, 5, 5, 5, 6, 93427.00000686337, 63099
5, 100, 0.0611339, 5, 5, 5, 7, 93427.00000686337, 63099
5, 100, 0.0611924, 5, 5, 5, 8, 93427.00000686337, 63099
5, 100, 0.0681713, 5, 5, 5, 9, 93427.00000686337, 63099
5, 100, 0.0744527, 5, 5, 5, 10, 93427.00000686337, 63099
5, 100, 0.0866694, 5, 5, 6, 1, 92510.00000699556, 62934
5, 100, 0.077105, 5, 5, 6, 2, 93427.00000686337, 63099
5, 100, 0.0898789, 5, 5, 6, 3, 93427.00000686337, 63099
5, 100, 0.0745865, 5, 5, 6, 4, 93427.00000686337, 63099
5, 100, 0.0808375, 5, 5, 6, 5, 93427.00000686337, 63099
5, 100, 0.0906063, 5, 5, 6, 6, 93427.00000686337, 63099
5, 100, 0.0737132, 5, 5, 6, 7, 93427.00000686337, 63099
5, 100, 0.0703441, 5, 5, 6, 8, 93427.00000686337, 63099
5, 100, 0.0829353, 5, 5, 6, 9, 93427.00000686337, 63099
5, 100, 0.073033, 5, 5, 6, 10, 93427.00000686337, 63099
5, 100, 0.1044717, 5, 5, 7, 1, 91670.00000727939, 57954
5, 100, 0.0830031, 5, 5, 7, 2, 93427.00000686337, 63099
5, 100, 0.0821374, 5, 5, 7, 3, 93427.00000686337, 63099
5, 100, 0.081675, 5, 5, 7, 4, 93427.00000686337, 63099
5, 100, 0.0904864, 5, 5, 7, 5, 93427.00000686337, 63099
5, 100, 0.0780846, 5, 5, 7, 6, 93427.00000686337, 63099
5, 100, 0.0849033, 5, 5, 7, 7, 93427.00000686337, 63099
5, 100, 0.0886242, 5, 5, 7, 8, 93427.00000686337, 63099
5, 100, 0.0857538, 5, 5, 7, 9, 93427.00000686337, 63099
5, 100, 0.0967223, 5, 5, 7, 10, 93427.00000686337, 63099
5, 100, 0.1170926, 5, 5, 8, 1, 92488.00000711724, 67003
5, 100, 0.0840564, 5, 5, 8, 2, 93427.00000686337, 63099
5, 100, 0.0970059, 5, 5, 8, 3, 93427.00000686337, 63099
5, 100, 0.0900544, 5, 5, 8, 4, 93427.00000686337, 63099
5, 100, 0.0878299, 5, 5, 8, 5, 93427.00000686337, 63099
5, 100, 0.1050001, 5, 5, 8, 6, 93427.00000686337, 63099
5, 100, 0.0959153, 5, 5, 8, 7, 93427.00000686337, 63099
5, 100, 0.0958391, 5, 5, 8, 8, 93427.00000686337, 63099
5, 100, 0.0985882, 5, 5, 8, 9, 93427.00000686337, 63099
5, 100, 0.103166, 5, 5, 8, 10, 93427.00000686337, 63099
5, 100, 0.1304864, 5, 5, 9, 1, 88765.00000696098, 68819
5, 100, 0.1119229, 5, 5, 9, 2, 93427.00000686337, 63099
5, 100, 0.1157172, 5, 5, 9, 3, 93427.00000686337, 63099
5, 100, 0.1129588, 5, 5, 9, 4, 93427.00000686337, 63099
5, 100, 0.1155654, 5, 5, 9, 5, 93427.00000686337, 63099
5, 100, 0.1105388, 5, 5, 9, 6, 93427.00000686337, 63099
5, 100, 0.1110889, 5, 5, 9, 7, 93427.00000686337, 63099
5, 100, 0.1213577, 5, 5, 9, 8, 93427.00000686337, 63099
5, 100, 0.1026127, 5, 5, 9, 9, 93427.00000686337, 63099
5, 100, 0.1155055, 5, 5, 9, 10, 93427.00000686337, 63099
5, 100, 0.1414605, 5, 5, 10, 1, 92554.00000677034, 65985
5, 100, 0.1174461, 5, 5, 10, 2, 93427.00000686337, 63099
