Nb_sac, Nb_obj, Temps (s), MAX_ITER, NBR_BEE, FLIP, MAX_CHANCES, FITNESS, VALEUR_TOTAL
5, 100, 0.1289009, 10, 5, 1, 1, 48199.00000672264, 26124
5, 100, 0.0694045, 10, 5, 1, 2, 49089.00000673551, 26868
5, 100, 0.0389746, 10, 5, 1, 3, 49089.00000673551, 26868
5, 100, 0.0590279, 10, 5, 1, 4, 49181.0000068711, 29798
5, 100, 0.052508, 10, 5, 1, 5, 49282.0000068711, 29139
5, 100, 0.0529147, 10, 5, 1, 6, 49282.0000068711, 29139
5, 100, 0.0397134, 10, 5, 1, 7, 49282.0000068711, 29139
5, 100, 0.0491289, 10, 5, 1, 8, 49385.0000068711, 29201
5, 100, 0.0910906, 10, 5, 1, 9, 49385.0000068711, 29201
5, 100, 0.0860807, 10, 5, 1, 10, 49389.0000068711, 30936
5, 100, 0.0922871, 10, 5, 2, 1, 48009.00000680846, 23648
5, 100, 0.0965116, 10, 5, 2, 2, 49389.0000068711, 30936
5, 100, 0.0539604, 10, 5, 2, 3, 49389.0000068711, 30936
5, 100, 0.0507126, 10, 5, 2, 4, 49400.0000068711, 34827
5, 100, 0.0502992, 10, 5, 2, 5, 49400.0000068711, 34827
5, 100, 0.0418482, 10, 5, 2, 6, 49400.0000068711, 34827
5, 100, 0.0827044, 10, 5, 2, 7, 49400.0000068711, 34827
5, 100, 0.054924, 10, 5, 2, 8, 49400.0000068711, 34827
5, 100, 0.0493829, 10, 5, 2, 9, 49400.0000068711, 34827
5, 100, 0.0495564, 10, 5, 2, 10, 49400.0000068711, 34827
5, 100, 0.0989482, 10, 5, 3, 1, 48016.00000697418, 25058
5, 100, 0.0810816, 10, 5, 3, 2, 49402.0000068711, 32895
5, 100, 0.0663415, 10, 5, 3, 3, 49402.0000068711, 32895
5, 100, 0.0727877, 10, 5, 3, 4, 49402.0000068711, 32895
5, 100, 0.0835102, 10, 5, 3, 5, 49402.0000068711, 32895
5, 100, 0.0715556, 10, 5, 3, 6, 49402.0000068711, 32895
5, 100, 0.0713624, 10, 5, 3, 7, 49402.0000068711, 32895
5, 100, 0.088382, 10, 5, 3, 8, 49402.0000068711, 32895
5, 100, 0.0691718, 10, 5, 3, 9, 49402.0000068711, 32895
5, 100, 0.0783223, 10, 5, 3, 10, 49402.0000068711, 32895
5, 100, 0.1505286, 10, 5, 4, 1, 48454.00000705055, 25406
5, 100, 0.0683065, 10, 5, 4, 2, 49402.0000068711, 32895
5, 100, 0.0853029, 10, 5, 4, 3, 49402.0000068711, 32895
5, 100, 0.0695245, 10, 5, 4, 4, 49402.0000068711, 32895
5, 100, 0.0810671, 10, 5, 4, 5, 49402.0000068711, 32895
5, 100, 0.0901899, 10, 5, 4, 6, 49402.0000068711, 32895
5, 100, 0.0663015, 10, 5, 4, 7, 49402.0000068711, 32895
5, 100, 0.078557, 10, 5, 4, 8, 49402.0000068711, 32895
5, 100, 0.0873538, 10, 5, 4, 9, 49402.0000068711, 32895
5, 100, 0.0800909, 10, 5, 4, 10, 49402.0000068711, 32895
5, 100, 0.1547213, 10, 5, 5, 1, 47775.00000697418, 25968
5, 100, 0.0884442, 10, 5, 5, 2, 49402.0000068711, 32895
5, 100, 0.0816635, 10, 5, 5, 3, 49402.0000068711, 32895
5, 100, 0.1047935, 10, 5, 5, 4, 49402.0000068711, 32895
5, 100, 0.1020665, 10, 5, 5, 5, 49402.0000068711, 32895
5, 100, 0.0825511, 10, 5, 5, 6, 49402.0000068711, 32895
5, 100, 0.118678, 10, 5, 5, 7, 49402.0000068711, 32895
5, 100, 0.0907796, 10, 5, 5, 8, 49402.0000068711, 32895
5, 100, 0.0927471, 10, 5, 5, 9, 49402.0000068711, 32895
5, 100, 0.1282182, 10, 5, 5, 10, 49402.0000068711, 32895
5, 100, 0.1656548, 10, 5, 6, 1, 48396.00000695681, 26217
5, 100, 0.1320493, 10, 5, 6, 2, 49408.0000068711, 34765
5, 100, 0.1058724, 10, 5, 6, 3, 49408.0000068711, 34765
5, 100, 0.109233, 10, 5, 6, 4, 49408.0000068711, 34765
5, 100, 0.1319239, 10, 5, 6, 5, 49408.0000068711, 34765
5, 100, 0.1237492, 10, 5, 6, 6, 49408.0000068711, 34765
5, 100, 0.1205949, 10, 5, 6, 7, 49408.0000068711, 34765
5, 100, 0.1380037, 10, 5, 6, 8, 49408.0000068711, 34765
5, 100, 0.1300544, 10, 5, 6, 9, 49408.0000068711, 34765
5, 100, 0.1244831, 10, 5, 6, 10, 49408.0000068711, 34765
5, 100, 0.2201471, 10, 5, 7, 1, 48459.00000698027, 30027
5, 100, 0.1514852, 10, 5, 7, 2, 49408.0000068711, 34765
5, 100, 0.1581415, 10, 5, 7, 3, 49408.0000068711, 34765
5, 100, 0.1403098, 10, 5, 7, 4, 49408.0000068711, 34765
5, 100, 0.1767357, 10, 5, 7, 5, 49408.0000068711, 34765
5, 100, 0.1443468, 10, 5, 7, 6, 49413.0000068711, 35158
5, 100, 0.1572927, 10, 5, 7, 7, 49413.0000068711, 35158
5, 100, 0.1512432, 10, 5, 7, 8, 49413.0000068711, 35158
5, 100, 0.1706989, 10, 5, 7, 9, 49413.0000068711, 35158
5, 100, 0.1387743, 10, 5, 7, 10, 49413.0000068711, 35158
5, 100, 0.2552765, 10, 5, 8, 1, 47590.00000673551, 26939
